BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	22	15	3	0	8000	2500	1000	2	555555	******	5	5	5	5	5	5	740.000	0.000	740.000	1	1	-1	0	0	0	0	0	0	8740.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	233500	233872	11506	234	789	1	1	
1	23	15	5	1	4000	2500	2000	2	351531	******	3	5	1	5	3	1	1032.000	6500.000	7532.000	1	1	-1	5	3	1	3	5	0	5032.000	5160.000	5398.000	5838.000	6058.000	0.000	0.000	0.000	245000	245382	8506	246	296	1	1	
1	24	15	1	1	4000	2500	2000	2	111111	******	1	1	1	1	1	1	330.000	1400.000	1730.000	0	0	2	1	1	1	1	1	1	4330.000	4604.000	4842.000	5098.000	5348.000	5598.000	0.000	0.000	253500	253892	8506	254	804	1	0	
1	25	15	6	1	6000	2500	1000	2	513153	******	5	1	3	1	5	3	414.000	1872.000	2286.000	0	0	2	5	1	3	1	5	3	6414.000	6670.000	6900.000	7468.000	7820.000	8138.000	0.000	0.000	262000	262401	9506	263	309	1	0	
1	26	15	6	0	6000	2500	1000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	271500	271912	9506	272	818	1	1	
1	27	15	5	0	6000	2500	1000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	281000	281422	9506	282	323	1	1	
1	28	15	1	0	4000	2500	2000	2	111111	******	1	1	1	1	1	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	290500	290932	8506	291	830	1	0	
1	29	15	3	1	4000	2500	1000	2	555555	******	5	5	5	5	5	5	420.000	1344.000	1764.000	0	0	2	5	5	5	5	5	5	4420.000	4668.000	4922.000	5168.000	5410.000	5656.000	0.000	0.000	299000	299442	7506	300	338	1	0	
1	30	15	4	0	8000	2500	1000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	306500	306952	21506	307	845	1	1	
2	1	15	2	1	4000	2500	1000	2	333333	******	3	3	3	3	3	3	532.000	1372.000	1904.000	0	0	2	3	3	3	3	3	3	4532.000	4790.000	5046.000	5282.000	5526.000	5780.000	0.000	0.000	10000	10000	7506	10	994	1	0	
2	2	15	3	1	4000	2500	2000	2	555555	******	5	5	5	5	5	5	362.000	1374.000	1736.000	0	0	2	5	5	5	5	5	5	4362.000	4616.000	4858.000	5096.000	5320.000	5580.000	0.000	0.000	17500	17510	8506	18	502	1	0	
2	3	15	6	1	6000	2500	1000	2	513153	******	5	1	3	1	5	3	338.000	1300.000	1638.000	1	0	0	5	1	3	1	5	2	6338.000	6568.000	6812.000	7124.000	7290.000	7494.000	0.000	0.000	26000	26019	9506	27	9	1	0	
2	4	15	5	0	6000	2500	4000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35500	35530	12506	36	516	1	1	
2	5	15	5	0	6000	2500	2000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	48000	48040	10506	49	21	1	0	
2	6	15	3	1	6000	2500	1000	2	555555	******	5	5	5	5	5	5	384.000	1280.000	1664.000	0	0	2	5	5	5	5	5	5	6384.000	6612.000	6836.000	7052.000	7272.000	7516.000	0.000	0.000	58500	58552	9506	59	530	1	0	
2	7	15	2	1	4000	2500	2000	2	333333	******	3	3	3	3	3	3	398.000	1266.000	1664.000	0	0	2	3	3	3	3	3	3	4398.000	4624.000	4844.000	5076.000	5346.000	5586.000	0.000	0.000	68000	68062	8506	69	35	1	0	
2	8	15	3	0	4000	2500	1000	2	555555	******	5	5	5	5	5	5	398.000	0.000	398.000	1	1	-1	0	0	0	0	0	0	4398.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76500	76572	7506	77	544	1	0	
